('Q108941', 'Фишер', 'PERSON')	Pred: ('Q2640102', 'Фишер')
('Q5284', 'Гейтса', 'PERSON')	Pred: ('Q502074', 'Гелипорт')
('Q7220288', 'Пятый канал', 'ORGANIZATION')	Pred: ('Q2987894', 'Пятый канал')
('Q57336', 'Али Хаменеи', 'PERSON')	Pred: ('Q57336', 'Али Хаменеи')
('Q29', 'Испании', 'COUNTRY')	Pred: ('Q1654573', 'Испания')
('Q3130', 'Сиднея', 'CITY')	Pred: ('Q502129', 'Сидия')
('Q159', 'Российской Федерации', 'COUNTRY')	Pred: ('Q218295', 'Президент Российской Федерации')
('Q774306', 'хирург', 'PROFESSION')	Pred: ('Q2024794', 'Военный хирург')
('Q414', 'Аргентине', 'COUNTRY')	Pred: ('Q899406', 'Бразилея')
('Q159', 'Российские', 'COUNTRY')	Pred: ('Q16017003', 'Российский')
('Q1501800', 'гендиректора', 'PROFESSION')	Pred: ('Q1501800', 'Гендиректор')
('Q176296', 'Верховной рады', 'ORGANIZATION')	Pred: ('Q862099', 'Разгон Верховного Совета')
('Q188094', 'Экономисты', 'PROFESSION')	Pred: ('Q159810', 'Экономисты')
('Q6589202', 'Министерством внутренних дел', 'ORGANIZATION')	Pred: ('Q6867235', 'Министерство внутренних дел')
('Q55', 'Нидерланды', 'COUNTRY')	Pred: ('Q476033', 'Нидерланды')
('Q741', 'Минников', 'PERSON')	Pred: ('Q15064929', 'Ведников')
('Q188094', 'экономистов', 'PROFESSION')	Pred: ('Q4202448', 'Экономцев')
('Q606465', 'Поющие в терновнике', 'WORK_OF_ART')	Pred: ('Q606465', 'Поющие в терновнике')
('Q2214877', 'Павел Смеян', 'PERSON')	Pred: ('Q2214877', 'Павел Смеян')
('Q4220207', 'Киевского городского совета', 'ORGANIZATION')	Pred: ('Q11812508', 'Киевский городской председатель')
('Q464529', 'рохинджа', 'NATIONALITY')	Pred: ('Q4506246', 'Цхинвал')
('Q116', 'королевы', 'PROFESSION')	Pred: ('Q4233771', 'Королевы')
('Q165419', 'Ивану Мазепе', 'PERSON')	Pred: ('Q3653149', 'Ниношвили Эгнате')
('Q319497', 'Собянина', 'PERSON')	Pred: ('Q4429046', 'Сорма')
('Q2324813', 'Государственным банком', 'ORGANIZATION')	Pred: ('Q1070087', 'Банковка')
('Q24543', 'UPF', 'ORGANIZATION')	Pred: ('Q488344', 'Уён')
('Q628101', 'Вести', 'ORGANIZATION')	Pred: ('Q628101', 'Вести')
('Q23530', 'Дмитрием Медведевым', 'PERSON')	Pred: ('Q23530', 'Президентство Дмитрия Медведева')
('Q159', 'Российско', 'COUNTRY')	Pred: ('Q19655321', 'Путино')
('Q193391', 'дипломата', 'PROFESSION')	Pred: ('Q1424427', 'Пуната')
('Q3009497', 'Вэнс', 'PERSON')	Pred: ('Q507981', 'Вэнс')
('Q520549', 'геолога', 'PROFESSION')	Pred: ('Q72823', 'Документа')
('Q1602522', 'Геликон-опере', 'ORGANIZATION')	Pred: ('Q3731255', 'Тольчор')
('Q330067', 'Первого канала', 'ORGANIZATION')	Pred: ('Q330067', 'Первый канал')
('Q2743544', 'Erin Andrew', 'PERSON')	Pred: ('Q737768', 'Эбер Анна')
('Q3205563', 'студента', 'PROFESSION')	Pred: ('Q961957', 'Три студента')
('Q2861548', 'Арканов', 'PERSON')	Pred: ('Q28790607', 'Арканов')
('Q10583424', 'Метрополитен-Опера', 'ORGANIZATION')	Pred: ('Q10583424', 'Метрополитен-Опера')
('Q160381', 'Западе', 'LOCATION')	Pred: ('Q582033', 'Золотое')
('Q1198767', 'Жестокое море', 'WORK_OF_ART')	Pred: ('Q1198767', 'Жестокое море')
('Q115', 'Эфиопии', 'COUNTRY')	Pred: ('Q162068', 'Флаг Эфиопии')
('Q20900227', 'Присцилла Чан', 'PERSON')	Pred: ('Q20900227', 'Присцилла Чан')
('Q119798', 'Майкл Дуглас', 'PERSON')	Pred: ('Q119798', 'Майкл Дуглас')
('Q60206', 'Ариэля Шарона', 'PERSON')	Pred: ('Q24054499', 'Ариэль Кастро')
('Q901', 'ученые', 'PROFESSION')	Pred: ('Q55632693', 'Обученные')
('Q69341', 'Фолькера Буфье', 'PERSON')	Pred: ('Q60446319', 'Саккомани Альфред')
('Q873364', 'Бронза', 'AWARD')	Pred: ('Q34095', 'Бронза')
('Q7416', 'Тэтчер', 'PERSON')	Pred: ('Q4454636', 'Тэнцзин')
('Q359317', 'Юджин Фама', 'PERSON')	Pred: ('Q359317', 'Юджин Фама')
('Q38104', 'Нобелевской премии по физике', 'AWARD')	Pred: ('Q38104', 'Нобелевская премия по физике')
('Q5466', 'ЧР', 'STATE_OR_PROVINCE')	Pred: ('Q210036', 'ЧРН')
('Q2747456', 'принца', 'PROFESSION')	Pred: ('Q29404755', 'Апаницы')
('Q22502', 'Тайвань', 'COUNTRY')	Pred: ('Q22502', 'Тайвань')
('Q192912', 'Стивен', 'PERSON')	Pred: ('Q17501985', 'Стивен')
('Q23334', 'Абхазии', 'COUNTRY')	Pred: ('Q236615', 'Герб Абхазии')
('Q5137576', 'хоккейный тренер', 'PROFESSION')	Pred: ('Q512203', 'Подводный хоккей')
('Q1371914', 'солисткой', 'PROFESSION')	Pred: ('Q1609118', 'Собесские')
('Q483020', 'ПСЖ', 'ORGANIZATION')	Pred: ('Q3365295', 'ПСЖ')
('Q106291', 'Лучшая мужская роль второго плана', 'AWARD')	Pred: ('Q586140', 'Лучшая мужская роль')
('Q3284499', 'Капитолием', 'FACILITY')	Pred: ('Q2087615', 'Хинголи')
('Q4304284', 'Московского театра-студии под руководством Олега Табакова', 'ORGANIZATION')	Pred: ('Q4304284', 'Московский театр-студия под руководством Олега Табакова')
('Q483501', 'актёр', 'PROFESSION')	Pred: ('Q594495', 'Брюле')
('Q193426', 'Нэнси Рейган', 'PERSON')	Pred: ('Q193426', 'Нэнси Рейган')
('Q100906723', "главы ''Samsung'", 'PROFESSION')	Pred: ('Q4741481', 'Часта')
('Q41', 'Греции', 'COUNTRY')	Pred: ('Q22045662', 'Гренц')
('Q56465787', 'Премия правительства России', 'AWARD')	Pred: ('Q4375940', 'Премия правительства РФ')
('Q5481', 'Татарской', 'STATE_OR_PROVINCE')	Pred: ('Q4452524', 'Татарское')
('Q2095549', 'Лётчиков', 'PROFESSION')	Pred: ('Q862956', 'Лётчик')
('Q18066676', 'Арсен Павлов', 'PERSON')	Pred: ('Q18066676', 'Арсен Павлов')
('Q28469410', 'Короля Лир', 'PERSON')	Pred: ('Q181598', 'Король Лир')
('Q30029029', 'Ponte San Pietro', 'CITY')	Pred: ('Q1066500', 'Маликово')
('Q613729', 'Украинское правительство', 'ORGANIZATION')	Pred: ('Q1508143', 'Украинское государство')
('Q873364', 'бронзовый призер', 'AWARD')	Pred: ('Q1071389', 'Золотые прииски')
('Q2384139', 'Института Пушкина', 'ORGANIZATION')	Pred: ('Q29565959', 'Дом культуры имени Пушкина')
('Q2626768', 'Анастасии Заворотнюк', 'PERSON')	Pred: ('Q2626768', 'Анастасия Заворотнюк')
('Q2462658', 'менеджер', 'PROFESSION')	Pred: ('Q4470391', 'Україна')
('Q219060', 'палестинские', 'COUNTRY')	Pred: ('Q1397949', 'Палестинский кризис')
('Q851563', 'Мемориал', 'ORGANIZATION')	Pred: ('Q851563', 'Мемориал')
('Q42331646', 'Quand je t’aime', 'WORK_OF_ART')	Pred: ('Q4271649', 'Любить')
('Q211043', 'Русский музей', 'ORGANIZATION')	Pred: ('Q211043', 'Русский музей')
('Q17318904', 'Савченко', 'PERSON')	Pred: ('Q4404314', 'Савченко')
('Q245068', 'комик', 'PROFESSION')	Pred: ('Q1396807', 'Тихик')
('Q312474', 'Андриан Николаев', 'PERSON')	Pred: ('Q3572108', 'Елена Николаевна Трофименко')
('Q15070048', 'Саше', 'PERSON')	Pred: ('Q2597618', 'Саше')
('Q876864', 'редактором', 'PROFESSION')	Pred: ('Q131212', 'Текстовый редактор')
('Q161652', 'японец', 'NATIONALITY')	Pred: ('Q161652', 'Японец')
('Q3273722', 'министра здравоохранения', 'PROFESSION')	Pred: ('Q178706', 'Институт здравоохранения')
('Q986', 'Эритреи', 'COUNTRY')	Pred: ('Q13421691', 'Эритризм')
('Q49', 'Северной Америкой', 'LOCATION')	Pred: ('Q4101841', 'В черной стране')
('Q15686806', 'сенатора', 'PROFESSION')	Pred: ('Q4065563', 'Андреева')
('Q867132', 'поп-дивой', 'PROFESSION')	Pred: ('Q1063245', 'Свой-чужой')
('Q98485', 'Шефер', 'PERSON')	Pred: ('Q21334758', 'Шефер')
('Q1122534', 'Могамбо', 'WORK_OF_ART')	Pred: ('Q1122534', 'Могамбо')
('Q732923', 'Фатих', 'DISTRICT')	Pred: ('Q732923', 'Фатих')
('Q18486021', 'Эпизод VIII', 'WORK_OF_ART')	Pred: ('Q1983062', 'Эпизод')
('Q414', 'аргентинской', 'COUNTRY')	Pred: ('Q1192190', 'Венесуэльская литература')
('Q11204', 'Законодательного собрания', 'ORGANIZATION')	Pred: ('Q1153777', 'Законодательное собрание')
('Q1837906', 'Мэр Москвы', 'PROFESSION')	Pred: ('Q1837906', 'Мэр Москвы')
('Q4525026', 'ШАР', 'ORGANIZATION')	Pred: ('Q834047', 'ШАР')
('Q1195125', 'кубинцы', 'NATIONALITY')	Pred: ('Q4466029', 'Турицы')
('Q2235', 'Новгорода', 'CITY')	Pred: ('Q17412966', 'Крещение Новгорода')
('Q5589725', 'губернатор Техаса', 'PROFESSION')	Pred: ('Q49213', 'Университет Техаса')
('Q4098155', 'Олег Будницкий', 'PERSON')	Pred: ('Q4098155', 'Олег Будницкий')
('Q33935', 'Тель-Авива', 'CITY')	Pred: ('Q4465078', 'Тул-Ава')
('Q7546', 'Ингмара Бергмана', 'PERSON')	Pred: ('Q7546', 'Бергман Ингмар')
('Q90132546', 'замминистра', 'PROFESSION')	Pred: ('Q7266709', 'Каракоса')
('Q4416669', 'Серафимовском кладбище', 'FACILITY')	Pred: ('Q50233462', 'Захарьинское кладбище')
('Q6063', 'Даунинг-стрит', 'ORGANIZATION')	Pred: ('Q192687', 'Даунинг-стрит')
('Q190503', 'Артуром Шавловым', 'PERSON')	Pred: ('Q4250137', 'Александр Кушаев')
('Q181383', 'Махатхир Мохамад', 'PERSON')	Pred: ('Q181383', 'Махатхир Мохамад')
('Q184', 'Беларуси', 'COUNTRY')	Pred: ('Q4081521', 'Беларус-05')
('Q13133', 'миссис Обама', 'PERSON')	Pred: ('Q1018613', 'Мейрон')
('Q3892388', 'Палланцу', 'CITY')	Pred: ('Q272690', 'Пермон Лаура')
('Q36812', 'Уильяма', 'PERSON')	Pred: ('Q85974', 'Удрюма')
('Q121998', 'посол', 'PROFESSION')	Pred: ('Q379174', 'Руси')
('Q1114493', 'министрами Армии, ВМС и ВВС', 'PROFESSION')	Pred: ('Q11223', 'Военно-воздушные силы ВС США')
('Q715641', 'Госдумы РФ', 'ORGANIZATION')	Pred: ('Q715641', 'Госдума РФ')
('Q24716636', 'волонтеров', 'PROFESSION')	Pred: ('Q24352759', 'Документов')
('Q4304066', 'Моссовета', 'ORGANIZATION')	Pred: ('Q4304066', 'Моссовет')
('Q205602', 'главы азербайджанского государства', 'PROFESSION')	Pred: ('Q2426677', 'Иранские азербайджанцы')
('Q1563', 'Гавану', 'CITY')	Pred: ('Q239215', 'Кавану')
('Q42884', 'немки', 'NATIONALITY')	Pred: ('Q23608993', 'Шики')
('Q747110', 'УК РФ', 'LAW')	Pred: ('Q747110', 'УК РФ')
('Q1765307', 'Клару Освальд', 'PERSON')	Pred: ('Q1765307', 'Клара Освальд')
('Q5710', 'Башкортостан', 'STATE_OR_PROVINCE')	Pred: ('Q1051637', 'Башкортостан')
('Q837320', 'Гаванского университета', 'ORGANIZATION')	Pred: ('Q837320', 'Гаванский университет')
('Q232', 'Казахстан', 'COUNTRY')	Pred: ('Q622760', 'Казахстан')
('Q1192838', 'МВД России', 'ORGANIZATION')	Pred: ('Q1192838', 'МВД России')
('Q7191', 'нобелевского лауреата', 'AWARD')	Pred: ('Q751341', 'Нобелевская премия')
('Q1266866', 'Вооружён и очень опасен', 'WORK_OF_ART')	Pred: ('Q3630260', 'Вооружён и очень опасен')
('Q181042', 'Киндер-сюрприза', 'PRODUCT')	Pred: ('Q858459', 'Вельш-корги')
('Q8682', 'Реал', 'ORGANIZATION')	Pred: ('Q8682', 'Реал')
('Q40984', 'Skype', 'PRODUCT')	Pred: ('Q275758', 'Так')
('Q45', 'португальской', 'COUNTRY')	Pred: ('Q200464', 'Португальские колонии')
('Q3776989', 'кладбище Presbítero Maestro', 'FACILITY')	Pred: ('Q23847528', 'Крещено Гаи')
('Q6279', 'Байден', 'PERSON')	Pred: ('Q6279', 'Байден')
('Q584', 'Рейне', 'LOCATION')	Pred: ('Q593597', 'Рейне')
('Q792976', 'Бенджи Мэддена', 'PERSON')	Pred: ('Q792976', 'Бенджи Мэдден')
('Q17318904', 'Надежды Савченко', 'PERSON')	Pred: ('Q4404314', 'Савченко')
('Q30891882', 'Группу 24', 'ORGANIZATION')	Pred: ('Q2551751', 'Группа № 11')
('Q82955', 'политических деятелей', 'PROFESSION')	Pred: ('Q5027838', 'Политтехнолог')
('Q70216084', 'Микаэль Арпон', 'PERSON')	Pred: ('Q2734851', 'Микаэльсен')
('Q16533', 'судьи', 'PROFESSION')	Pred: ('Q16533', 'Судьи')
('Q41583', 'тренером', 'PROFESSION')	Pred: ('Q4155877', 'Дом учителя')
('Q406039', 'золото', 'AWARD')	Pred: ('Q9087', 'Бродзоло')
('Q632750', 'Хоххайм-ам-Майн', 'CITY')	Pred: ('Q632750', 'Хоххайм-ам-Майн')
('Q217305', 'The New Yorker', 'ORGANIZATION')	Pred: ('Q11030', 'Журналистика в США')
('Q15848755', 'прокуратурой Вены', 'ORGANIZATION')	Pred: ('Q12081224', 'Батуринская крепость')
('Q1563950', 'Кадиш по нерожденному ребенку', 'WORK_OF_ART')	Pred: ('Q45051448', 'Недоношенный ребенок')
('Q42178', 'Вице-президент', 'PROFESSION')	Pred: ('Q74801', 'Вице-президент')
('Q4122858', 'Вокруг смеха', 'WORK_OF_ART')	Pred: ('Q4122858', 'Вокруг смеха')
('Q7737', 'русского', 'LANGUAGE')	Pred: ('Q909079', 'Чунский')
('Q483437', 'Зеппа Блаттера', 'PERSON')	Pred: ('Q2715902', 'Спарвьеро')
('Q865', 'Тайвань', 'COUNTRY')	Pred: ('Q22502', 'Тайвань')
('Q649', 'Московской', 'CITY')	Pred: ('Q2454798', 'Московская')
('Q211511', 'Россия 1', 'ORGANIZATION')	Pred: ('Q211511', 'Россия 1')
('Q6501749', 'генсеком', 'PROFESSION')	Pred: ('Q192446', 'Геном человека')
('Q39420', 'Сочи', 'CITY')	Pred: ('Q1138408', 'Сочи')
('Q152503', 'Михаил', 'PERSON')	Pred: ('Q45581', 'Михаил')
('Q7191', 'нобелевский', 'AWARD')	Pred: ('Q3406924', 'Велевский')
('Q33946', 'Чехословакии', 'COUNTRY')	Pred: ('Q213514', 'Президент Чехословакии')
